gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPL8,essential,no,yes,no,no,yes,no,yes,no,no,-12.0005155937542,-8.73530413789157,-2.34499709907591,-0.676220293966478,9.99900009999e-05,0.0067993200679932,0.0005999400059994,0.025997400259974,0,0,-8.62263785292251,-10.5492081833738,-10.693233994258,-10.6480314885614,-10.1882685459245
RPL9,essential,no,yes,no,no,no,no,no,no,no,,-10.1304920967371,,-0.978038355011638,,0.0004999500049995,,0.0114988501149885,,0,,,,,
RPS10,essential,no,yes,no,no,no,no,no,no,no,-8.55275217445055,-9.3470633621846,-1.42119340023861,-0.992940666597422,0.0026997300269973,0.0007999200079992,0.0292970702929707,0.0094990500949905,0.00990099009900991,0.00990099009900991,-9.00124989668605,-8.72004812573817,-8.93251022042869,-9.20720300916022,-9.64667126349172
RPS11,essential,no,yes,no,no,yes,yes,yes,no,no,-11.4403043904991,-10.5829728015591,-2.21854717405776,-1.12527574636601,9.99900009999e-05,9.99900009999e-05,0.0024997500249975,0.0062993700629937,0,0,-11.2746784053886,-11.0638360930895,-11.5243924602498,-12.3282384718837,-12.421044107525
RPS12,essential,no,yes,no,no,yes,yes,yes,no,no,-12.2594313739196,-10.7343184304588,-2.21904709865703,-0.783607997368077,9.99900009999e-05,0.0018998100189981,0.0031996800319968,0.0202979702029797,0,0.0297029702970297,-12.2748506212435,-12.7445370255451,-13.2177118566646,-12.1619172564362,-13.069491109167
RPS13,essential,no,yes,no,no,yes,yes,yes,no,no,-12.4833468280124,-11.0632070388699,-2.32682878076538,-1.22737154496567,9.99900009999e-05,9.99900009999e-05,0.0018998100189981,0.0025997400259974,0,0,-12.8020126643292,-12.7304324193635,-12.6462616110822,-12.7626911168651,-12.73771371685
RPS14,essential,no,yes,no,no,yes,yes,no,no,no,,-10.7173543335633,,-1.03569308805751,,9.99900009999e-05,,0.007999200079992,,0.0198019801980198,,,,,
RPS15,essential,no,yes,no,no,yes,yes,no,no,no,-10.0268317083252,-8.87699371821756,-2.03325360982883,-0.923355723042115,9.99900009999e-05,0.0018998100189981,0.00999900009999,0.0141985801419858,0,0.00990099009900991,-8.89222745501774,-9.60904280961592,-10.3602842544878,-10.9587512290802,-10.7801075280315
RPS15A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.9013078897664,-12.8172261801151,-2.0927288932651,-1.39947572573911,9.99900009999e-05,9.99900009999e-05,0.0032996700329967,0.0006999300069993,0,0,-9.74565576895876,-9.64372836760381,-10.2258934824318,-10.7055553326996,-11.2393169121464
RPS16,essential,no,yes,no,no,yes,no,yes,no,no,-11.622625947293,-12.854966508098,-1.89756608811789,-1.27656371316841,9.99900009999e-05,9.99900009999e-05,0.0074992500749925,0.0020997900209979,0,0,-12.2748506212435,-11.3357698085731,-12.252630960621,-11.1790739040528,-11.7495584237462
