gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
RPS16,essential,no,yes,no,no,yes,no,yes,no,no,-11.622625947293,-12.854966508098,-1.89756608811789,-1.27656371316841,9.99900009999e-05,9.99900009999e-05,0.0074992500749925,0.0020997900209979,0,0,-10.7096762008861,-11.2072172830965,-11.4304851588611,-10.4202608299011,-9.91215338212714
RPS17,essential,no,yes,no,no,no,yes,no,no,no,,-8.53677351484261,,-0.882792220984741,,0.0035996400359964,,0.0167983201679832,,0,-6.87346208750563,-7.10969475209805,-7.51793051247744,-7.78176701717021,-7.38798917931037
RPS18,essential,no,yes,no,no,yes,yes,yes,no,no,-10.5177746583248,-9.31043682810136,-2.0819486538941,-1.02278241161043,9.99900009999e-05,0.0010998900109989,0.0047995200479952,0.0088991100889911,0,0,-10.9740388309927,-10.9578942262005,-11.413594953012,-11.4377023155648,-10.9669137882664
RPS19,essential,no,yes,no,no,yes,yes,yes,no,no,-11.9590981839142,-9.10546243216759,-2.39816365611294,-0.899216361954414,9.99900009999e-05,0.0013998600139986,0.0021997800219978,0.012998700129987,0,0,-7.92975407896234,-7.87000449408524,-7.65042080281508,-7.71713837752675,-7.22094926366947
RPS2,essential,no,yes,no,no,yes,no,yes,no,no,-12.4604450637257,-8.94166227251377,-2.21242539340059,-0.395338402272015,9.99900009999e-05,0.010998900109989,0.0030996900309969,0.0510948905109489,0,0,-6.1675662986568,-6.51395181394658,-7.18564666281864,-6.26309303742835,-5.85112261991198
RPS20,essential,no,yes,no,no,yes,yes,yes,no,no,-13.0703615901359,-9.33162713381598,-2.3814970774329,-0.45942664520006,9.99900009999e-05,0.0117988201179882,0.0007999200079992,0.0437956204379562,0,0.0198019801980198,-5.92527284126272,-6.25122445674227,-6.51648400606476,-6.27074142357416,-5.8165771393991
RPS21,essential,no,yes,no,no,yes,no,yes,no,no,-8.50554331241666,-9.34533641174101,-1.5170534521704,-1.04902871740262,0.0013998600139986,0.0004999500049995,0.0218978102189781,0.008999100089991,0.0198019801980198,0,-8.55757171412343,-8.41755449928249,-8.04352800556162,-8.0238840842566,-7.72483294684278
RPS23,essential,no,yes,no,no,yes,no,yes,no,no,-10.0383174775395,-8.20591746609358,-1.89264080420587,-0.475953102994107,9.99900009999e-05,0.0127987201279872,0.0081991800819918,0.0401959804019598,0,0.0396039603960396,-8.03604920532273,-8.05417524757189,-7.90161062894238,-7.80338593538376,-7.44808821323315
RPS24,essential,no,yes,no,no,yes,yes,no,no,no,-9.5870936437629,-9.50607507913774,-1.8148620171676,-0.813275263442317,9.99900009999e-05,0.0023997600239976,0.0124987501249875,0.018998100189981,0,0.00990099009900991,-6.82627011432882,-6.99359262384114,-6.42112473883586,-6.37919051656778,-6.02305788134269
RPS25,essential,no,yes,no,no,no,yes,no,no,no,-8.21329843954761,-8.42739826459474,-1.41353418103568,-0.744463320621384,0.0026997300269973,0.0057994200579942,0.0283971602839716,0.0221977802219778,0.0198019801980198,0.0396039603960396,-7.50391278911035,-7.46005640905057,-7.53631902226581,-7.52431038452931,-7.14141622930638
RPS26,essential,no,yes,no,no,no,yes,no,no,no,,-8.30284554319969,,-0.531477531042948,,0.0123987601239876,,0.0360963903609639,,0.0396039603960396,,,,,
RPS27,essential,no,yes,no,no,no,no,no,no,no,,-8.49986153099034,,-0.554653716167046,,0.0078992100789921,,0.0316968303169683,,0.0297029702970297,,,,,
RPS27A,essential,no,yes,no,no,yes,yes,no,no,no,-10.2010432414376,-11.0554911565031,-2.32944118038785,-1.4208274660448,9.99900009999e-05,9.99900009999e-05,0.0020997900209979,0.0005999400059994,0,0,-9.72703371075015,-10.0613317057868,-10.5610587359632,-10.3621857416913,-9.90871103793616
RPS28,essential,no,yes,no,no,yes,no,no,no,no,,-8.90736600574791,,-0.784109452214559,,0.0038996100389961,,0.0173982601739826,,0,-6.2656380556046,-6.72016175273135,-6.25178960722658,-6.19770439114206,-6.00648770651653
RPS29,essential,no,yes,no,no,no,no,no,no,no,-13.1129212045547,-8.96957710031763,-2.4845206562914,-0.862789199456566,9.99900009999e-05,0.0021997800219978,0.0001999800019998,0.017998200179982,0,0.00990099009900991,-7.55685917567261,-7.48353924386427,-7.57319432360979,-7.46793704287015,-7.21980694047552
RPS3,essential,no,yes,no,no,yes,yes,yes,no,no,-11.5082045647365,-10.4105313533649,-2.15593896256972,-1.03734847475711,9.99900009999e-05,0.0001999800019998,0.0048995100489951,0.0092990700929907,0,0,-8.11024066735335,-8.2562209033839,-8.13108481469838,-7.90702367348687,-7.30191457053913
RPS3A,essential,no,yes,no,no,no,yes,no,no,no,,-10.637122643559,,-1.07932444453343,,9.99900009999e-05,,0.0074992500749925,,0,-8.38141038936119,-8.64738197994335,-8.13645022001978,-7.74551782681665,-7.20963569859465
RPS4X,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2861222506761,-10.2581105197741,-2.02346472697663,-1.05630133770272,9.99900009999e-05,9.99900009999e-05,0.0056994300569943,0.0076992300769923,0,0,-7.68109556164104,-7.82347912280611,-7.91946692865874,-7.79657095080847,-7.25318074281094
RPS5,essential,no,yes,no,no,yes,yes,yes,no,no,-11.0836294465603,-10.072808334842,-1.96147915484287,-0.989298532133179,9.99900009999e-05,0.0003999600039996,0.0056994300569943,0.0095990400959904,0,0,-8.21938981515386,-8.39790647140933,-7.85595027772551,-7.81914843184996,-7.24396777958885
RPS6,essential,no,yes,no,no,yes,yes,yes,no,no,-12.675367781895,-9.3109460991603,-2.44760484243802,-0.961628001930222,9.99900009999e-05,0.0008999100089991,0.0016998300169983,0.0111988801119888,0,0.00990099009900991,-7.47227570416717,-7.83409605003456,-7.84074226519869,-7.8987965843793,-7.37894321578561
RPS7,essential,no,yes,no,no,yes,yes,yes,no,no,-10.7349866743189,-9.8185660980131,-2.05874643900192,-1.04301870906224,9.99900009999e-05,9.99900009999e-05,0.0056994300569943,0.007999200079992,0,0.0198019801980198,-7.78302322550763,-7.8801414763467,-7.92115586651986,-7.99858923874432,-7.52002181404552
RPS8,essential,no,yes,no,no,yes,yes,yes,no,no,-12.4053852865426,-11.2127387728409,-2.31085904626682,-1.10239132528575,9.99900009999e-05,9.99900009999e-05,0.0014998500149985,0.0066993300669933,0,0,-8.21553624583787,-8.32116518634485,-8.15795240395204,-7.84091144773246,-7.31535586180176
RPS9,essential,no,yes,no,no,yes,yes,no,no,no,-12.5512371635552,-11.9699283197279,-2.23329908602073,-1.25159556712551,9.99900009999e-05,9.99900009999e-05,0.0045995400459954,0.0026997300269973,0,0,-7.3907534078183,-7.5403454717464,-7.92130502748968,-7.77016777334716,-7.26112637750276
RPSA,essential,no,yes,no,no,yes,yes,no,no,no,-11.7334435024139,-10.4239712868732,-1.98595090872426,-0.908006370264672,9.99900009999e-05,0.000999900009999,0.0061993800619938,0.0116988301169883,0.00990099009900991,0,-7.77731354126465,-7.93407182829424,-7.95388975971473,-7.65764926389262,-7.28923544690728
