gene	Estimate	Std..Error	t.value	Pr...t..	ctrl_mean	case_mean	ctrl_sd	case_sd	ctrl_n	case_n	rra_score	rra_p	rra_fdr	u_gene	u_neig	NICE_score
WIZ	-0.0340144815084094	0.0410992786960061	-0.827617481075521	0.416041042124035	-0.0473804549920638	-0.0512112006688429	0.0971589214640604	0.110667586560717	22	8	0.120092051242981	0.600838036625291	0.934466035074012	0.2363975734951	0.642837144190387	-1.88410411970611
WNK1	-0.240702182909266	0.145229716059654	-1.65738933766418	0.110456988261442	-0.596187212240284	-0.767465430133757	0.361283512029261	0.279104085041111	22	8	0.040250631313856	0.330239309921202	0.752690904238936	0.0910872608492767	0.438404106392907	-3.22055149811464
WNK3	-0.064622381669459	0.0484384888029063	-1.33411225796916	0.19468904259217	-0.0603174815936291	-0.113158451309791	0.086066265643601	0.157535498758306	22	8	0.0253983337662966	0.182430492113364	0.581768667557945	0.134857676154923	0.313579094727018	-3.16323896231157
WNK4	0.00214586115625811	0.0363470173951546	0.0590381635150117	0.953410550356401	-0.0840505616233603	-0.0601950615773028	0.0780596820601479	0.102469488426805	22	8	0.193218078163601	0.793697090423934	0.999711429236435	0.488007466168922	0.790573961735884	-0.952420637195673
WNT1	0.0190870619298315	0.0417668821997572	0.456990345569593	0.651787524199464	-0.181965055514687	-0.123618308452186	0.110705280323051	0.111913450104263	22	8	0.00111513090057675	0.0327931225615277	0.234333588333304	0.619038730751283	0.139897340177322	-2.4464338481872
WNT10A	0.0466102261707198	0.0294134986601696	1.58465426739041	0.126134542823615	-0.0179521666845309	0.0319159921026315	0.0785871663920331	0.0728914943896355	22	8	0.00567704381084902	0.0786889941141318	0.382903075355551	0.89146056929538	0.205459636024265	-1.69739975498716
WNT10B	0.0321793146003229	0.0499720923161451	0.643945712673839	0.525717314845702	-0.1430803155274	-0.079815815888386	0.112696530298326	0.146138741135707	22	8	0.0693717935409206	0.535653360995862	0.900384161678599	0.677834811012599	0.594727018198787	-0.908504433958916
WNT2B	0.0454418954575867	0.0335486831611613	1.35450608416708	0.188190604103289	-0.0444077826107013	-0.0167813384483668	0.0868813716236829	0.0529818705194022	22	8	0.071974947852332	0.548100938824612	0.907255160908936	0.849276714885674	0.604059729351377	-0.667452411684721
WNT3A	0.0302739916933948	0.0488309248618631	0.619975799742404	0.54111604330921	-0.00466203308541502	-0.0298878845686819	0.116957642771653	0.164339909514665	22	8	0.0131041914102925	0.212265415861166	0.621257561035891	0.670181987867476	0.341670555296314	-1.4741142745848
WNT5B	-0.0187876404761109	0.0296220849290208	-0.634244366023832	0.531920835203885	-0.045339091686353	-0.0504795421913864	0.0615376981097017	0.0781959485095068	22	8	0.00224974357022976	0.0391029225905651	0.256849606102135	0.282407839477368	0.151936537564162	-3.14869537490457
