GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
CDC25A	PIK3CB	SL	-0.946804858712416	-0.180014858051683	Double KO screens	LOF
CDC25A	PIK3CD	SL	-0.707997285614727	0.382804872750662	Double KO screens	LOF
CDC25A	PIK3CG	SL	-0.667098172170087	0.693066499714535	Double KO screens	LOF
CDC25A	PRKCD	SL	-0.782932065456503	0.457957876297314	Double KO screens	LOF
CDC25A	RELA	SL	-1.83815510794706	-1.15252695037117	Double KO screens	LOF
CDC25A	SLC16A8	SL	-0.219420683701464	0.826158301101726	Double KO screens	LOF
CDC25A	SRC	SL	-1.19538586045658	-0.651795938627656	Double KO screens	LOF
CDC25A	TK1	SL	-1.68760577833389	-0.693327429107135	Double KO screens	LOF
CDC25B	IGF1R	SL	-1.32192845421091	-0.0997658770347277	Double KO screens	LOF
CDC25B	INPP1	SL	-0.448086972736959	0.651609913881569	Double KO screens	LOF
CDC25B	PIK3CB	SL	-0.473433553571352	1.75518630783343	Double KO screens	LOF
CDC25B	PRKCD	SL	-0.954593866310374	0.631379495348647	Double KO screens	LOF
CDK4	ERBB2	SL	-1.06296222684734	-0.369588699852317	Double KO screens	LOF
CDK4	HDAC1	SL	-1.82533505012431	-0.395263177660193	Double KO screens	LOF
CDK4	TOP1	SL	-0.858346836033878	0.914384779253699	Double KO screens	LOF
CDK4	VHL	SL	-0.557851123245808	0.210439526444	Double KO screens	LOF
CDK5	IGF1R	SL	-0.382428136956832	0.904695247719913	Double KO screens	LOF
CDK5	PIK3CA	SL	-0.676029497122574	-0.205376843256469	Double KO screens	LOF
CDK5	PPP1CC	SL	-0.765516043538268	-0.659952690383595	Double KO screens	LOF
CDK8	NDUFA4	SL	-0.596544795210368	0.117613019792407	Double KO screens	LOF
CDK8	TK1	SL	-1.18767936600608	0.22666554589279	Double KO screens	LOF
CDK9	CHEK1	SL	-0.575724514144914	-0.495242279678558	Double KO screens	LOF
CDK9	PDGFRA	SL	-0.957888127244446	-0.930972686540449	Double KO screens	LOF
CDK9	PIK3CA	SL	-0.860645396704795	0.0605125823146813	Double KO screens	LOF
CDK9	RRM2	SL	-0.715732985881589	0.0415591629049526	Double KO screens	LOF
CDK9	RUNX1	SL	-0.472751993798958	1.20100945061264	Double KO screens	LOF
CDK9	SMAD4	SL	-1.44919423601978	-1.5687484037856	Double KO screens	LOF
CDK9	SMARCB1	SL	-1.39271973594928	-0.402079291457886	Double KO screens	LOF
CDKN1A	EHMT2	SL	-0.67480345518409	-0.219824991640818	Double KO screens	LOF
CDKN1A	RPS6KA2	SL	-0.670649133124053	-0.271924420597057	Double KO screens	LOF
CDKN1A	TOP1	SL	-0.681957467522201	0.731567777649672	Double KO screens	LOF
CDKN2A	IGF1R	SL	-1.11712165718439	-0.422504544648458	Double KO screens	LOF
CDKN2A	RRM2	SL	-1.26293072387358	0.358002757600616	Double KO screens	LOF
CDS1	CDS2	SL	-3.48760579597935	-4.45799084664565	Double KO screens	LOF
CENPM	CEP63	SL	-0.875096446111103	-0.268156593541872	Double KO screens	LOF
CENPM	COPS5	SL	-1.16785794461543	-0.608802284061575	Double KO screens	LOF
CENPM	LEO1	SL	-0.800508972616757	0.486667521562391	Double KO screens	LOF
